Time Period,period start date,Payer Name,Payer Segment,Channel,Line of therapy,HCO Territory,HCO Region,HCO Area,HCO Nation,drug name,class,claims count,paid claims count,reverse claim count,rejected claim count,reject reason,Patient Count
M9,10/1/2025,Optum Rx,PBM,Pharmacy Benefit,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,676,520,15,141,Refill Too Soon,588
M2,5/1/2026,UnitedHealthcare,Commercial,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Cosentyx,IL-17A,315,266,37,12,Medical Records Requested,227
M3,4/1/2026,Florida Blue,Regional Health Plan,Managed Care,2L,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,901,361,16,524,Medical Records Requested,766
M1,6/1/2026,CareSource,Medicaid Managed Care,Medicaid,3L+,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,225,103,26,96,Referral Required,153
M2,5/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,288,193,30,65,Refill Too Soon,193
M8,11/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,1L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,594,327,4,263,Medical Records Requested,475
M1,6/1/2026,Elevance Health (Anthem),Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,580,397,14,169,Referral Required,458
M4,3/1/2026,Aetna,Commercial,Managed Care,3L+,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,502,420,20,62,Medical Records Requested,331
M10,9/1/2025,Elevance Health (Anthem),Commercial,Managed Care,1L,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,831,442,16,373,Authorization Denied,548
M9,10/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,1L,Alabama_Birmingham,Alabama,North,US,BIMZLEX,IL-17A & IL-17F,452,291,22,139,Referral Required,357
M3,4/1/2026,TRICARE,Government,Federal,3L+,Alabama_Birmingham,Alabama,North,US,ILUMYA,IL-23,210,182,15,13,Prior Authorization Required,187
M3,4/1/2026,Optum Rx,PBM,Pharmacy Benefit,1L,Alabama_Birmingham,Alabama,North,US,Stelara,IL-12/23,814,252,4,558,Referral Required,562
M1,6/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,3L+,Alabama_Birmingham,Alabama,North,US,Skyrizi,IL-23,887,659,42,186,Authorization Denied,798
M5,2/1/2026,Medicare FFS,Government,Medicare,2L,Alabama_Birmingham,Alabama,North,US,Humira,TNF,342,299,12,31,Prior Authorization Required,253
M9,10/1/2025,Blue Cross Blue Shield,Commercial,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,Humira,TNF,486,394,38,54,Prior Authorization Required,365
M12,7/1/2025,Florida Blue,Regional Health Plan,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,Cosentyx,IL-17A,955,927,10,18,Prior Authorization Required,688
M3,4/1/2026,EmblemHealth,Regional Health Plan,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,Tremfya,IL-23,263,76,26,161,Medical Records Requested,171
M8,11/1/2025,Medicare FFS,Government,Medicare,2L,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,175,56,11,108,Refill Too Soon,147
M2,5/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,968,124,22,822,Prior Authorization Required,765
M10,9/1/2025,Medicaid State Plans,Government,Medicaid,1L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,370,109,3,258,Medical Records Requested,263
M1,6/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,2L,Arizona_Phoenix,Arizona,West,US,Humira,TNF,239,78,29,132,Medical Records Requested,172
M4,3/1/2026,Medicare FFS,Government,Medicare,2L,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,114,59,21,34,Authorization Denied,97
M4,3/1/2026,EmblemHealth,Regional Health Plan,Managed Care,2L,Arizona_Phoenix,Arizona,West,US,Humira,TNF,472,95,38,339,Medical Records Requested,340
M11,8/1/2025,Medicare FFS,Government,Medicare,2L,Arizona_Phoenix,Arizona,West,US,Humira,TNF,803,704,3,96,Authorization Denied,538
M11,8/1/2025,Humana,Commercial,Medicare Advantage,2L,Arizona_Phoenix,Arizona,West,US,Tremfya,IL-23,354,149,19,186,Referral Required,273
M9,10/1/2025,Elevance Health (Anthem),Commercial,Managed Care,2L,Arizona_Phoenix,Arizona,West,US,Humira,TNF,435,81,8,346,Authorization Denied,287
M12,7/1/2025,Florida Blue,Regional Health Plan,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,109,84,25,0,Referral Required,82
M4,3/1/2026,TRICARE,Government,Federal,3L+,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,647,399,18,230,Refill Too Soon,498
M10,9/1/2025,Florida Blue,Regional Health Plan,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,Humira,TNF,794,470,2,322,Refill Too Soon,651
M10,9/1/2025,Humana,Commercial,Medicare Advantage,1L,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,906,204,14,688,Referral Required,770
M5,2/1/2026,Optum Rx,PBM,Pharmacy Benefit,1L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,383,64,30,289,Medical Records Requested,295
M5,2/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,2L,Arizona_Phoenix,Arizona,West,US,Cosentyx,IL-17A,741,698,6,37,Medical Records Requested,615
M5,2/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,198,171,16,11,Medical Records Requested,154
M5,2/1/2026,Express Scripts,PBM,Pharmacy Benefit,3L+,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,625,297,28,300,Refill Too Soon,431
M5,2/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,Arizona_Phoenix,Arizona,West,US,Tremfya,IL-23,705,530,36,139,Referral Required,635
M9,10/1/2025,Cigna Healthcare,Commercial,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,102,81,12,9,Referral Required,90
M7,12/1/2025,Medicaid State Plans,Government,Medicaid,1L,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,681,447,40,194,Referral Required,599
M9,10/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,2L,Arizona_Phoenix,Arizona,West,US,Cosentyx,IL-17A,717,527,8,182,Medical Records Requested,480
M9,10/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,1L,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,854,382,45,427,Prior Authorization Required,692
M6,1/1/2026,Humana,Commercial,Medicare Advantage,2L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,471,254,16,201,Refill Too Soon,363
M10,9/1/2025,CVS Caremark,PBM,Pharmacy Benefit,2L,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,325,206,3,116,Authorization Denied,228
M4,3/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,1L,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,760,696,40,24,Authorization Denied,669
M9,10/1/2025,EmblemHealth,Regional Health Plan,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,865,590,6,269,Medical Records Requested,709
M1,6/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,3L+,Arizona_Phoenix,Arizona,West,US,Cosentyx,IL-17A,108,81,24,3,Refill Too Soon,73
M11,8/1/2025,Medicare FFS,Government,Medicare,1L,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,469,217,7,245,Prior Authorization Required,375
M11,8/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,969,535,49,385,Medical Records Requested,862
M9,10/1/2025,Medicare FFS,Government,Medicare,1L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,595,543,50,2,Authorization Denied,476
M2,5/1/2026,Health Care Service Corporation,Commercial,Managed Care,2L,Arizona_Phoenix,Arizona,West,US,Tremfya,IL-23,286,220,9,57,Refill Too Soon,243
M5,2/1/2026,Aetna,Commercial,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,ILUMYA,IL-23,233,57,13,163,Authorization Denied,189
M12,7/1/2025,Optum Rx,PBM,Pharmacy Benefit,1L,Arizona_Phoenix,Arizona,West,US,Tremfya,IL-23,794,167,14,613,Authorization Denied,532
M7,12/1/2025,UnitedHealthcare,Commercial,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,160,64,18,78,Referral Required,106
M5,2/1/2026,Cigna Healthcare,Commercial,Managed Care,2L,Arizona_Phoenix,Arizona,West,US,Stelara,IL-12/23,507,117,32,358,Referral Required,395
M1,6/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,742,384,10,348,Authorization Denied,623
M2,5/1/2026,Florida Blue,Regional Health Plan,Managed Care,1L,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,526,361,11,154,Prior Authorization Required,405
M11,8/1/2025,Elevance Health (Anthem),Commercial,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,BIMZLEX,IL-17A & IL-17F,706,229,12,465,Medical Records Requested,572
M7,12/1/2025,Highmark,Regional Health Plan,Managed Care,3L+,Arizona_Phoenix,Arizona,West,US,Skyrizi,IL-23,260,75,13,172,Referral Required,205
M11,8/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,1L,California_North,California,South,US,Skyrizi,IL-23,532,66,1,465,Authorization Denied,351
M5,2/1/2026,Highmark,Regional Health Plan,Managed Care,3L+,California_North,California,South,US,Stelara,IL-12/23,177,52,32,93,Prior Authorization Required,119
M2,5/1/2026,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,California_North,California,South,US,Cosentyx,IL-17A,689,108,5,576,Referral Required,489
M11,8/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,California_North,California,South,US,Stelara,IL-12/23,217,79,10,128,Prior Authorization Required,167
M1,6/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,California_North,California,South,US,Humira,TNF,702,420,44,238,Refill Too Soon,604
M5,2/1/2026,UnitedHealthcare,Commercial,Managed Care,1L,California_North,California,South,US,ILUMYA,IL-23,731,243,14,474,Refill Too Soon,621
M10,9/1/2025,Cigna Healthcare,Commercial,Managed Care,3L+,California_North,California,South,US,BIMZLEX,IL-17A & IL-17F,853,301,19,533,Referral Required,580
M6,1/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,3L+,California_North,California,South,US,Skyrizi,IL-23,241,82,4,155,Refill Too Soon,200
M3,4/1/2026,EmblemHealth,Regional Health Plan,Managed Care,3L+,California_North,California,South,US,Tremfya,IL-23,637,529,2,106,Refill Too Soon,427
M11,8/1/2025,Optum Rx,PBM,Pharmacy Benefit,3L+,California_North,California,South,US,Skyrizi,IL-23,211,53,2,156,Refill Too Soon,186
M2,5/1/2026,Optum Rx,PBM,Pharmacy Benefit,3L+,California_North,California,South,US,Tremfya,IL-23,492,282,44,166,Authorization Denied,354
M6,1/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,California_North,California,South,US,Skyrizi,IL-23,329,191,19,119,Referral Required,234
M12,7/1/2025,CareSource,Medicaid Managed Care,Medicaid,3L+,California_North,California,South,US,Stelara,IL-12/23,809,522,17,270,Authorization Denied,566
M4,3/1/2026,Express Scripts,PBM,Pharmacy Benefit,3L+,California_North,California,South,US,Cosentyx,IL-17A,550,352,37,161,Medical Records Requested,451
M2,5/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,California_North,California,South,US,Stelara,IL-12/23,616,106,19,491,Refill Too Soon,474
M8,11/1/2025,Optum Rx,PBM,Pharmacy Benefit,3L+,California_North,California,South,US,Tremfya,IL-23,876,304,50,522,Referral Required,727
M7,12/1/2025,Medicaid State Plans,Government,Medicaid,1L,California_North,California,South,US,Cosentyx,IL-17A,160,101,39,20,Medical Records Requested,117
M2,5/1/2026,TRICARE,Government,Federal,1L,California_North,California,South,US,Stelara,IL-12/23,986,587,14,385,Prior Authorization Required,848
M7,12/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,1L,California_North,California,South,US,Humira,TNF,171,151,5,15,Medical Records Requested,128
M7,12/1/2025,Veterans Health Administration (VA),Government,Veterans/Federal,1L,California_North,California,South,US,Tremfya,IL-23,922,681,0,241,Medical Records Requested,627
M2,5/1/2026,Florida Blue,Regional Health Plan,Managed Care,1L,California_North,California,South,US,Cosentyx,IL-17A,696,437,33,226,Refill Too Soon,571
M10,9/1/2025,CVS Caremark,PBM,Pharmacy Benefit,2L,California_North,California,South,US,Humira,TNF,587,102,26,459,Referral Required,429
M2,5/1/2026,Express Scripts,PBM,Pharmacy Benefit,3L+,California_North,California,South,US,BIMZLEX,IL-17A & IL-17F,506,153,31,322,Prior Authorization Required,344
M8,11/1/2025,CareSource,Medicaid Managed Care,Medicaid,1L,California_North,California,South,US,Cosentyx,IL-17A,954,622,18,314,Authorization Denied,840
M10,9/1/2025,Optum Rx,PBM,Pharmacy Benefit,2L,California_North,California,South,US,Humira,TNF,629,599,0,30,Refill Too Soon,440
M6,1/1/2026,Cigna Healthcare,Commercial,Managed Care,2L,California_North,California,South,US,Skyrizi,IL-23,869,535,44,290,Authorization Denied,739
M11,8/1/2025,Cigna Healthcare,Commercial,Managed Care,2L,California_North,California,South,US,Cosentyx,IL-17A,640,311,9,320,Medical Records Requested,563
M1,6/1/2026,Aetna,Commercial,Managed Care,3L+,California_North,California,South,US,Tremfya,IL-23,745,244,35,466,Refill Too Soon,641
M5,2/1/2026,Medicare FFS,Government,Medicare,2L,California_North,California,South,US,Cosentyx,IL-17A,847,111,37,699,Prior Authorization Required,551
M6,1/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,1L,California_North,California,South,US,Tremfya,IL-23,895,587,26,282,Medical Records Requested,743
M6,1/1/2026,Veterans Health Administration (VA),Government,Veterans/Federal,1L,California_North,California,South,US,Tremfya,IL-23,298,212,42,44,Refill Too Soon,259
M9,10/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,California_North,California,South,US,Cosentyx,IL-17A,137,104,26,7,Prior Authorization Required,123
M10,9/1/2025,WellCare,Medicare/Medicaid,Medicare Advantage,1L,California_North,California,South,US,Skyrizi,IL-23,960,322,40,598,Authorization Denied,787
M1,6/1/2026,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,1L,California_North,California,South,US,Stelara,IL-12/23,839,274,27,538,Refill Too Soon,738
M4,3/1/2026,CareSource,Medicaid Managed Care,Medicaid,2L,California_North,California,South,US,Humira,TNF,151,76,15,60,Medical Records Requested,110
M3,4/1/2026,Independence Blue Cross,Regional Health Plan,Managed Care,1L,California_North,California,South,US,Humira,TNF,681,488,29,164,Authorization Denied,545
M5,2/1/2026,WellCare,Medicare/Medicaid,Medicare Advantage,3L+,California_North,California,South,US,Stelara,IL-12/23,961,860,48,53,Refill Too Soon,625
M12,7/1/2025,Highmark,Regional Health Plan,Managed Care,2L,California_North,California,South,US,Stelara,IL-12/23,580,86,3,491,Authorization Denied,400
M8,11/1/2025,Centene Corporation,Medicaid Managed Care,Medicaid,1L,California_North,California,South,US,Cosentyx,IL-17A,678,499,14,165,Medical Records Requested,488
M12,7/1/2025,Independence Blue Cross,Regional Health Plan,Managed Care,1L,California_South,California,South,US,ILUMYA,IL-23,237,115,30,92,Prior Authorization Required,211
M8,11/1/2025,Kaiser Permanente,Integrated Delivery Network (IDN),Managed Care,2L,California_South,California,South,US,Cosentyx,IL-17A,620,460,50,110,Refill Too Soon,428
M3,4/1/2026,Cigna Healthcare,Commercial,Managed Care,1L,California_South,California,South,US,Stelara,IL-12/23,155,81,39,35,Referral Required,116
M2,5/1/2026,Optum Rx,PBM,Pharmacy Benefit,3L+,California_South,California,South,US,Cosentyx,IL-17A,897,649,44,204,Authorization Denied,646
M9,10/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,2L,California_South,California,South,US,Humira,TNF,628,247,49,332,Medical Records Requested,421
M5,2/1/2026,EmblemHealth,Regional Health Plan,Managed Care,2L,California_South,California,South,US,Tremfya,IL-23,707,235,24,448,Medical Records Requested,601
M4,3/1/2026,CVS Caremark,PBM,Pharmacy Benefit,3L+,California_South,California,South,US,BIMZLEX,IL-17A & IL-17F,659,401,19,239,Medical Records Requested,442
M12,7/1/2025,Cigna Healthcare,Commercial,Managed Care,1L,California_South,California,South,US,ILUMYA,IL-23,816,129,24,663,Prior Authorization Required,718
M9,10/1/2025,Medicare FFS,Government,Medicare,3L+,California_South,California,South,US,Skyrizi,IL-23,930,83,50,797,Referral Required,651
M3,4/1/2026,Medicare FFS,Government,Medicare,2L,California_South,California,South,US,ILUMYA,IL-23,218,178,20,20,Referral Required,164
M8,11/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,3L+,California_South,California,South,US,ILUMYA,IL-23,582,55,24,503,Medical Records Requested,489
M2,5/1/2026,Health Care Service Corporation,Commercial,Managed Care,2L,California_South,California,South,US,Tremfya,IL-23,551,105,49,397,Referral Required,413
M3,4/1/2026,Aetna,Commercial,Managed Care,2L,California_South,California,South,US,Tremfya,IL-23,312,214,0,98,Prior Authorization Required,256
M5,2/1/2026,CVS Caremark,PBM,Pharmacy Benefit,2L,California_South,California,South,US,Humira,TNF,501,295,22,184,Medical Records Requested,451
M1,6/1/2026,Humana,Commercial,Medicare Advantage,2L,California_South,California,South,US,Humira,TNF,686,654,9,23,Refill Too Soon,556
M8,11/1/2025,Medicare FFS,Government,Medicare,3L+,California_South,California,South,US,BIMZLEX,IL-17A & IL-17F,107,72,27,8,Medical Records Requested,86
M2,5/1/2026,Florida Blue,Regional Health Plan,Managed Care,1L,California_South,California,South,US,Cosentyx,IL-17A,552,227,38,287,Refill Too Soon,414
M5,2/1/2026,Centene Corporation,Medicaid Managed Care,Medicaid,1L,California_South,California,South,US,Stelara,IL-12/23,534,287,24,223,Prior Authorization Required,454
M12,7/1/2025,Humana,Commercial,Medicare Advantage,2L,California_South,California,South,US,Humira,TNF,370,213,12,145,Prior Authorization Required,318
M8,11/1/2025,CareSource,Medicaid Managed Care,Medicaid,3L+,California_South,California,South,US,Skyrizi,IL-23,289,228,43,18,Prior Authorization Required,188
M8,11/1/2025,Molina Healthcare,Medicaid Managed Care,Medicaid,3L+,California_South,California,South,US,Cosentyx,IL-17A,828,634,23,171,Prior Authorization Required,704
M12,7/1/2025,Prime Therapeutics,PBM,Pharmacy Benefit,2L,California_South,California,South,US,Skyrizi,IL-23,679,181,14,484,Prior Authorization Required,489
M1,6/1/2026,EmblemHealth,Regional Health Plan,Managed Care,2L,California_South,California,South,US,Stelara,IL-12/23,400,193,2,205,Refill Too Soon,344
M7,12/1/2025,Aetna,Commercial,Managed Care,2L,California_South,California,South,US,BIMZLEX,IL-17A & IL-17F,581,485,30,66,Prior Authorization Required,378
